date,water,process,spike,target,count,count/mL,count/100mL
8.15,SEC,sampG,NEG,Total Events,24570,85875728.16,1.12E+10
8.15,PBS,sampG,NEG,Total Events,3660,12792233.01,1.68E+09
8.15,EFF,sampG,NEG,Total Events,32340,113033009.7,1.48E+10
8.15,PUV,sampG,NEG,Total Events,14810,51763106.8,6.78E+09
8.22,EFF,sampG,NEG,Total Events,43450,151864077.7,1.99E+10
8.22,PBS,sampG,NEG,Total Events,2518,8800776.699,1.15E+09
8.22,PUV,sampG,NEG,Total Events,14537,50808932.04,6.65E+09
8.22,SEC,sampG,NEG,Total Events,22641,79133592.23,1.04E+10
9.5,EFF,sampG,NEG,Total Events,19213,67152233.01,8.80E+09
9.5,PBS,sampG,NEG,Total Events,1246,4354951.456,5.70E+08
9.5,PUV,sampG,NEG,Total Events,7459,26070291.26,3.41E+09
9.5,SEC,sampG,NEG,Total Events,7103,24826019.42,3.25E+09
8.15,SEC,sampG,NEG,VLP Events,10940,38236893.2,5.01E+09
8.15,PBS,sampG,NEG,VLP Events,710,2481553.398,3.25E+08
8.15,EFF,sampG,NEG,VLP Events,19620,68574757.28,8.98E+09
8.15,PUV,sampG,NEG,VLP Events,9080,31735922.33,4.16E+09
8.22,EFF,sampG,NEG,VLP Events,42346,148005436.9,1.94E+10
8.22,PBS,sampG,NEG,VLP Events,1264,4417864.078,5.79E+08
8.22,PUV,sampG,NEG,VLP Events,13870,48477669.9,6.35E+09
8.22,SEC,sampG,NEG,VLP Events,21575,75407766.99,9.88E+09
9.5,EFF,sampG,NEG,VLP Events,18495,64642718.45,8.47E+09
9.5,PBS,sampG,NEG,VLP Events,542,1894368.932,2.48E+08
9.5,PUV,sampG,NEG,VLP Events,6837,23896310.68,3.13E+09
9.5,SEC,sampG,NEG,VLP Events,6453,22554174.76,2.95E+09
