date,week,water,target,count/100mL
5/10/2023,1,INF,Total Events,39235446667
5/10/2023,1,INF,VLP Events,28620266667
5/10/2023,1,SEC,Total Events,45275137778
5/10/2023,1,SEC,VLP Events,43836113334
5/10/2023,1,EFF,Total Events,72697628889
5/10/2023,1,EFF,VLP Events,71024451112
5/10/2023,1,PBS,Total Events,1187475556
5/10/2023,1,PBS,VLP Events,144886666.7
5/18/2023,2,EFF,Total Events,54902662222
5/18/2023,2,EFF,VLP Events,53522691111
5/18/2023,2,INF,Total Events,24950720000
5/18/2023,2,INF,VLP Events,17423937778
5/18/2023,2,PBS,Total Events,1190222222
5/18/2023,2,PBS,VLP Events,158391111.1
5/18/2023,2,SEC,Total Events,34267871111
5/18/2023,2,SEC,VLP Events,32899573333
5/24/2023,3,EFF,Total Events,65532491111
5/24/2023,3,EFF,VLP Events,64268108889
5/24/2023,3,INF,Total Events,25410100000
5/24/2023,3,INF,VLP Events,17760633334
5/24/2023,3,PBS,Total Events,1049913334
5/24/2023,3,PBS,VLP Events,76677777.78
5/24/2023,3,SEC,Total Events,30556437778
5/24/2023,3,SEC,VLP Events,29188597778
5/31/2023,4,EFF,Total Events,27441031111
5/31/2023,4,EFF,VLP Events,26078684445
5/31/2023,4,INF,Total Events,11427048889
5/31/2023,4,INF,VLP Events,5455337778
5/31/2023,4,PBS,Total Events,1147191111
5/31/2023,4,PBS,VLP Events,34791111.11
5/31/2023,4,SEC,Total Events,8545337778
5/31/2023,4,SEC,VLP Events,7101506667
6/7/2023,5,EFF,Total Events,42778417778
6/7/2023,5,EFF,VLP Events,41067702222
6/7/2023,5,INF,Total Events,24738997778
6/7/2023,5,INF,VLP Events,16579566667
6/7/2023,5,PBS,Total Events,1498306667
6/7/2023,5,PBS,VLP Events,89037777.78
6/7/2023,5,SEC,Total Events,17063208889
6/7/2023,5,SEC,VLP Events,15197306667
6/14/2023,6,EFF,Total Events,33957040000
6/14/2023,6,EFF,VLP Events,24797135556
6/14/2023,6,INF,Total Events,68148462223
6/14/2023,6,INF,VLP Events,66310026667
6/14/2023,6,PBS,Total Events,1574526667
6/14/2023,6,PBS,VLP Events,216071111.1
6/14/2023,6,SEC,Total Events,43229557778
6/14/2023,6,SEC,VLP Events,41372124445
6/21/2023,7,EFF,Total Events,41978222222
6/21/2023,7,EFF,VLP Events,40142991111
6/21/2023,7,INF,Total Events,25526833334
6/21/2023,7,INF,VLP Events,16476108889
6/21/2023,7,PBS,Total Events,1511353334
6/21/2023,7,PBS,VLP Events,82857777.79
6/21/2023,7,SEC,Total Events,19799804444
6/21/2023,7,SEC,VLP Events,17570426667
6/29/2023,8,EFF,Total Events,57650931111
6/29/2023,8,EFF,VLP Events,55890088889
6/29/2023,8,INF,Total Events,13288144445
6/29/2023,8,INF,VLP Events,9216668889
6/29/2023,8,PBS,Total Events,1822642222
6/29/2023,8,PBS,VLP Events,453657777.8
6/29/2023,8,SEC,Total Events,45234624445
6/29/2023,8,SEC,VLP Events,43152880000
7/6/2023,9,EFF,Total Events,14590751111
7/6/2023,9,EFF,VLP Events,13503528889
7/6/2023,9,INF,Total Events,16363724444
7/6/2023,9,INF,VLP Events,6306804444
7/6/2023,9,PBS,Total Events,1045106667
7/6/2023,9,PBS,VLP Events,87893333.33
7/6/2023,9,SEC,Total Events,6185493333
7/6/2023,9,SEC,VLP Events,4952240000
7/13/2023,10,EFF,Total Events,46119966667
7/13/2023,10,EFF,VLP Events,44735188889
7/13/2023,10,INF,Total Events,18088860000
7/13/2023,10,INF,VLP Events,12517017778
7/13/2023,10,PBS,Total Events,833613333.3
7/13/2023,10,PBS,VLP Events,44175555.56
7/13/2023,10,SEC,Total Events,23755462222
7/13/2023,10,SEC,VLP Events,22062142223
7/25/2023,11,EFF,Total Events,38856406667
7/25/2023,11,EFF,VLP Events,38352164445
7/25/2023,11,INF,Total Events,20922275556
7/25/2023,11,INF,VLP Events,17181315556
7/25/2023,11,PBS,Total Events,137333333.4
7/25/2023,11,PBS,VLP Events,8468888.888
7/25/2023,11,SEC,Total Events,18019964444
7/25/2023,11,SEC,VLP Events,16861557778
